minute_start,minute_end,type,question,options,correct_answer,explanation
0,5,MCQ,"According to the video, approximately what percentage of candidates fail their technical interviews?",50% | 60% | 70% | 80%,70%,"According to the transcript, about 70% of candidates fail their technical interviews, and Python questions are highlighted as the biggest challenge."
0,5,MCQ,What extension does a standard Python module file have?,.class | .py | .pyc | .exe,.py,A Python module is typically a single file containing Python code that ends with the '.py' extension.
0,5,FILL_BLANK,A Python package is a directory hierarchy that must contain a special initialization file named ______.,,__init__.py,A Python package is a directory containing a special file named '__init__.py' which can be empty or execute initialization code.
0,5,FLASHCARD,What is the primary difference between a module and a package in Python?,,"A module is a single Python file containing code (such as functions, classes, and variables), whereas a package is a collection of modules organized in a directory hierarchy that contains an __init__.py file.","Modules are single files useful for grouping related functions, while packages are directories of modules that provide structured organization to prevent name collisions in larger code bases."
0,5,MSQ,Which of the following are true statements about Python packages? (Select all that apply),They are collections of modules organized in a directory hierarchy. | They must contain a file named __init__.py which cannot be empty. | They help avoid module name collisions. | They scale well for organizing larger projects.,They are collections of modules organized in a directory hierarchy.; They help avoid module name collisions.; They scale well for organizing larger projects.,"Packages are directory hierarchies of modules that help avoid naming collisions and organize large code bases. The __init__.py file can be empty, so the requirement that it 'cannot be empty' is false."
0,5,MCQ,Why is Python described as a 'partially compiled' language?,Because it translates source code into C++ before execution. | Because it compiles source code into intermediate bytecode before the interpreter executes it. | Because it can only run on compiled operating systems like Windows. | Because it compiles machine code directly into human-readable code.,Because it compiles source code into intermediate bytecode before the interpreter executes it.,Python is considered partially compiled because its source code is first translated into an intermediate representation called bytecode before being run by the interpreter.
0,5,FLASHCARD,What is 'bytecode' in the context of Python execution?,,"Bytecode is an intermediate, low-level representation of source code compiled from Python files. It is abstract, not human-readable, and is executed line by line by the Python interpreter.",Bytecode represents the compiled form of your Python source code which is then translated to machine code by the interpreter.
0,5,MSQ,"According to the transcript, which of the following are distinct benefits of using Python? (Select all that apply)","Simplicity and readability | Versatility across various fields like AI and web development | Portability across platforms like Windows, Mac OS, and Linux | Extremely high execution speed compared to C","Simplicity and readability; Versatility across various fields like AI and web development; Portability across platforms like Windows, Mac OS, and Linux","Python offers simplicity, versatility, rich libraries, a strong community, portability, and rapid prototyping. It is not, however, known for having execution speeds that exceed low-level compiled languages like C."
0,5,FILL_BLANK,"Python is primarily an ______ language, meaning its code is executed line by line at runtime.",,interpreted,"Python is primarily an interpreted language because code is executed line by line at runtime by an interpreter, as opposed to compiled languages."
0,5,MCQ,Which of the following frameworks or libraries was NOT mentioned in the transcript as part of Python's rich ecosystem?,Django | Pandas | TensorFlow | Spring Boot,Spring Boot,"The video mentions Django, Pandas, and TensorFlow as key examples of Python's rich ecosystem of libraries and frameworks. Spring Boot is a Java framework."
0,5,MSQ,"On which operating systems does Python run seamlessly, according to the portability section? (Select all that apply)",Windows | Mac OS | Linux | Android,Windows; Mac OS; Linux,"The video states that Python runs seamlessly on Windows, Mac OS, and Linux, which simplifies deployment and development."
0,5,FILL_BLANK,"Before being executed by the Python interpreter, source code is first compiled into intermediate ______.",,bytecode,"When running a Python program, the source code is first translated into bytecode, which is then processed by the interpreter."
0,5,FLASHCARD,How does Python's simplicity benefit developers during software development?,,"It provides an easy-to-read and easy-to-write syntax, which makes it highly accessible for beginners and enables experienced developers to quickly write efficient, error-free code.","Python's simple syntax reduces development time and minimizes errors, making it optimal for both beginners and senior engineers."
0,5,MCQ,What is the function of the '__init__.py' file in a Python package?,It acts as the main entry point that compiles the entire project into an .exe. | It is a special file that can execute initialization code for the package or remain empty. | It is used to import external C++ libraries into Python. | It deletes temporary Python files after execution.,It is a special file that can execute initialization code for the package or remain empty.,The __init__.py file resides in package directories to establish them as Python packages. It can contain initialization code or simply be empty.
0,5,FLASHCARD,What are three fields in which Python is highly versatile according to the video?,,"Web development, data analysis, AI (Artificial Intelligence), machine learning, and automation.","Python's versatility allows it to span across high-demand domains like web programming, data processing, machine learning models, and automated scripting."
5,10,MCQ,Is Python a case-sensitive language?,"Yes, it distinguishes between uppercase and lowercase characters in identifiers. | No, variable names are resolved regardless of character casing. | Yes, but only for built-in functions, not user-defined variables. | No, but class names are the only exception.","Yes, it distinguishes between uppercase and lowercase characters in identifiers.","Python is a case-sensitive language, meaning it distinguishes between uppercase and lowercase characters in identifiers (e.g., 'name', 'Ver', and 'VAR' are treated as separate variables)."
5,10,MCQ,What error is raised when attempting to access or modify private attributes directly from outside a class in Python?,TypeError | ValueError | AttributeError | NameError,AttributeError,Attempting to directly access or modify a private attribute (marked with a double underscore) from outside the class will result in an AttributeError.
5,10,FILL_BLANK,"To use a global variable inside a function, the ________ keyword is required.",,global,"To use and modify a global variable inside a local function scope, Python requires the 'global' keyword."
